Country code,Country,Region code,Region,BUA code,BUA name,BUA size classification, Counts 
E92000001,England,E12000002,North West,E63000381,Seascale,Minor," 1,710 "
E92000001,England,E12000002,North West,E63000254,Seaton (Allerdale),Small," 5,050 "
E92000001,England,E12000009,South West,E63006732,Seaton (East Devon),Small," 7,435 "
E92000001,England,E12000001,North East,E63000059,Seaton Burn,Minor," 1,355 "
E92000001,England,E12000001,North East,E63000056,Seaton Delaval,Small," 8,010 "
E92000001,England,E12000003,Yorkshire and The Humber,E63000705,Seaton Ross,Minor, 550 
E92000001,England,E12000001,North East,E63000055,Seaton Sluice,Minor," 2,955 "
E92000001,England,E12000008,South East,E63006726,Seaview and Nettlestone,Minor," 2,050 "
E92000001,England,E12000009,South West,E63006354,Seavington St Michael,Minor, 125 
E92000001,England,E12000006,East of England,E63004348,Seawick,Minor, 260 
E92000001,England,E12000002,North West,E63000403,Sedbergh,Minor," 1,450 "
E92000001,England,E12000005,West Midlands,E63003855,Sedgeberrow,Minor, 885 
E92000001,England,E12000004,East Midlands,E63002038,Sedgebrook,Minor, 330 
E92000001,England,E12000001,North East,E63000265,Sedgefield,Minor," 4,980 "
E92000001,England,E12000006,East of England,E63002055,Sedgeford,Minor, 565 
E92000001,England,E12000005,West Midlands,E63002830,Sedgley,Medium," 31,990 "
E92000001,England,E12000008,South East,E63006301,Sedlescombe,Minor, 895 
E92000001,England,E12000009,South West,E63005317,Seend,Minor, 245 
E92000001,England,E12000009,South West,E63005328,Seend Cleeve,Minor, 315 
E92000001,England,E12000008,South East,E63004754,Seer Green,Minor," 2,580 "
E92000001,England,E12000006,East of England,E63002732,Seething,Minor, 385 
E92000001,England,E12000001,North East,E63000057,Seghill,Minor," 2,795 "
E92000001,England,E12000005,West Midlands,E63002784,Seisdon,Minor, 410 
E92000001,England,E12000008,South East,E63005970,Selborne,Minor, 570 
E92000001,England,E12000003,Yorkshire and The Humber,E63000814,Selby,Small," 19,475 "
E92000001,England,E12000008,South East,E63005872,Sellindge,Minor, 765 
E92000001,England,E12000008,South East,E63006700,Selsey,Small," 10,735 "
E92000001,England,E12000004,East Midlands,E63001832,Selston,Small," 6,275 "
E92000001,England,E12000009,South West,E63005346,Semington,Minor, 755 
E92000001,England,E12000008,South East,E63005472,Send,Minor," 4,095 "
E92000001,England,E12000008,South East,E63005361,Sepham Heath,Minor, 380 
E92000001,England,E12000006,East of England,E63002422,Setchey,Minor, 190 
E92000001,England,E12000003,Yorkshire and The Humber,E63000554,Settle,Minor," 2,710 "
E92000001,England,E12000008,South East,E63005459,Sevenoaks,Medium," 26,475 "
E92000001,England,E12000008,South East,E63005566,Sevenoaks Weald,Minor, 805 
E92000001,England,E12000009,South West,E63004878,Severn Beach,Minor," 2,210 "
E92000001,England,E12000006,East of England,E63003862,Sewards End,Minor, 530 
E92000001,England,E12000006,East of England,E63004643,Sewardstone,Minor, 720 
E92000001,England,E12000008,South East,E63004450,Shabbington,Minor, 540 
E92000001,England,E12000008,South East,E63005702,Shackleford,Minor, 200 
E92000001,England,E12000001,North East,E63000198,Shadforth,Minor, 270 
E92000001,England,E12000008,South East,E63005882,Shadoxhurst,Minor," 1,010 "
E92000001,England,E12000003,Yorkshire and The Humber,E63000723,Shadwell,Minor," 1,455 "
E92000001,England,E12000009,South West,E63006198,Shaftesbury,Small," 9,160 "
E92000001,England,E12000009,South West,E63005271,Shalbourne,Minor, 375 
E92000001,England,E12000009,South West,E63006856,Shaldon,Minor," 1,715 "
E92000001,England,E12000008,South East,E63006746,Shalfleet,Minor, 660 
E92000001,England,E12000006,East of England,E63004036,Shalford (Braintree),Minor, 355 
E92000001,England,E12000008,South East,E63005659,Shalford (Guildford),Minor," 2,510 "
E92000001,England,E12000008,South East,E63005734,Shamley Green,Minor," 1,200 "
E92000001,England,E12000008,South East,E63006806,Shanklin,Small," 9,120 "
E92000001,England,E12000002,North West,E63000337,Shap,Minor, 900 
E92000001,England,E12000009,South West,E63005878,Shapwick,Minor, 445 
E92000001,England,E12000004,East Midlands,E63002147,Shardlow,Minor," 1,190 "
E92000001,England,E12000005,West Midlands,E63002580,Shareshill,Minor, 765 
E92000001,England,E12000003,Yorkshire and The Humber,E63000991,Sharlston,Minor," 2,165 "
E92000001,England,E12000006,East of England,E63003412,Sharnbrook,Minor," 1,740 "
E92000001,England,E12000004,East Midlands,E63002835,Sharnford,Minor," 1,065 "
E92000001,England,E12000003,Yorkshire and The Humber,E63000509,Sharow,Minor, 575 
E92000001,England,E12000009,South West,E63004552,Sharpness,Minor," 1,235 "
E92000001,England,E12000006,East of England,E63003572,Sharpstone Street,Minor, 490 
E92000001,England,E12000008,South East,E63005992,Sharpthorne,Minor, 705 
E92000001,England,E12000002,North West,E63001852,Shavington,Minor," 4,975 "
E92000001,England,E12000002,North West,E63001126,Shaw (Oldham),Small," 18,240 "
E92000001,England,E12000009,South West,E63005209,Shaw (Wiltshire),Minor, 455 
E92000001,England,E12000005,West Midlands,E63002278,Shawbury,Minor," 1,960 "
E92000001,England,E12000008,South East,E63006126,Shawford,Minor, 415 
E92000001,England,E12000009,South West,E63006473,Shebbear,Minor, 395 
E92000001,England,E12000008,South East,E63006405,Shedfield,Minor, 940 
E92000001,England,E12000004,East Midlands,E63002674,Sheepy Magna,Minor, 920 
E92000001,England,E12000006,East of England,E63004339,Sheering,Minor, 960 
E92000001,England,E12000008,South East,E63005028,Sheerness,Small," 13,250 "
E92000001,England,E12000008,South East,E63006165,Sheet (East Hampshire),Minor, 320 
E92000001,England,E12000005,West Midlands,E63003103,Sheet (Shropshire),Minor, 175 
E92000001,England,E12000003,Yorkshire and The Humber,E63001424,Sheffield,Major," 500,535 "
E92000001,England,E12000006,East of England,E63003845,Shefford,Small," 7,310 "
E92000001,England,E12000003,Yorkshire and The Humber,E63000879,Shelf and Northowram,Small," 9,195 "
E92000001,England,E12000006,East of England,E63002948,Shelfanger,Minor, 365 
E92000001,England,E12000006,East of England,E63004501,Shelley (Epping Forest),Minor," 2,405 "
E92000001,England,E12000003,Yorkshire and The Humber,E63001097,Shelley (Kirklees),Minor," 2,695 "
E92000001,England,E12000008,South East,E63003778,Shenington,Minor, 420 
E92000001,England,E12000006,East of England,E63004585,Shenley,Minor," 3,555 "
E92000001,England,E12000006,East of England,E63004563,Shenleybury,Minor, 450 
E92000001,England,E12000005,West Midlands,E63002614,Shenstone,Minor," 2,195 "
E92000001,England,E12000003,Yorkshire and The Humber,E63001123,Shepley,Minor," 2,515 "
E92000001,England,E12000008,South East,E63005177,Shepperton,Small," 5,915 "
E92000001,England,E12000008,South East,E63005150,Shepperton Green,Minor," 4,355 "
E92000001,England,E12000006,East of England,E63003652,Shepreth,Minor, 625 
E92000001,England,E12000004,East Midlands,E63002323,Shepshed,Small," 14,870 "
E92000001,England,E12000009,South West,E63006318,Shepton Beauchamp,Minor, 750 
E92000001,England,E12000009,South West,E63005741,Shepton Mallet,Small," 9,645 "
E92000001,England,E12000009,South West,E63006328,Sherborne,Small," 10,360 "
E92000001,England,E12000008,South East,E63005458,Sherborne St John,Minor, 950 
E92000001,England,E12000001,North East,E63000192,Sherburn (County Durham),Minor," 2,795 "
E92000001,England,E12000003,Yorkshire and The Humber,E63000478,Sherburn (Ryedale),Minor, 870 
E92000001,England,E12000001,North East,E63000193,Sherburn Hill,Minor, 955 
E92000001,England,E12000003,Yorkshire and The Humber,E63000804,Sherburn in Elmet,Small," 8,570 "
E92000001,England,E12000008,South East,E63005641,Shere,Minor, 325 
E92000001,England,E12000008,South East,E63005407,Sherfield on Loddon,Minor," 1,385 "
E92000001,England,E12000009,South West,E63006947,Sherford,Minor," 1,310 "
E92000001,England,E12000003,Yorkshire and The Humber,E63000533,Sheriff Hutton,Minor, 850 
E92000001,England,E12000005,West Midlands,E63002462,Sheriffhales,Minor, 360 
E92000001,England,E12000006,East of England,E63001974,Sheringham,Small," 7,090 "
E92000001,England,E12000008,South East,E63003682,Sherington,Minor, 985 
E92000001,England,E12000009,South West,E63004843,Sherston,Minor," 1,395 "
E92000001,England,E12000002,North West,E63001136,Shevington,Small," 5,320 "
E92000001,England,E12000002,North West,E63001099,Shevington Moor,Minor," 2,720 "
E92000001,England,E12000005,West Midlands,E63002551,Shifnal,Small," 8,980 "
E92000001,England,E12000001,North East,E63000019,Shilbottle,Minor," 1,785 "
E92000001,England,E12000001,North East,E63000278,Shildon,Small," 9,645 "
E92000001,England,E12000009,South West,E63006451,Shillingstone,Minor," 1,165 "
E92000001,England,E12000006,East of England,E63003942,Shillington,Minor," 1,630 "
E92000001,England,E12000005,West Midlands,E63002937,Shilton,Minor, 285 
E92000001,England,E12000001,North East,E63000151,Shiney Row and Penshaw,Small," 16,900 "
E92000001,England,E12000008,South East,E63005151,Shinfield,Small," 5,420 "
E92000001,England,E12000006,East of England,E63002563,Shipdham,Minor," 2,460 "
E92000001,England,E12000009,South West,E63005418,Shipham,Minor," 1,105 "
E92000001,England,E12000008,South East,E63004962,Shiplake,Minor, 290 
E92000001,England,E12000003,Yorkshire and The Humber,E63000751,Shipley (Bradford),Medium," 29,225 "
E92000001,England,E12000008,South East,E63005823,Shipley Bridge,Minor, 315 
E92000001,England,E12000008,South East,E63004627,Shippon,Minor," 1,895 "
E92000001,England,E12000005,West Midlands,E63003822,Shipston-on-Stour,Small," 5,850 "
E92000001,England,E12000009,South West,E63004245,Shipton (Cotswold),Minor, 360 
E92000001,England,E12000003,Yorkshire and The Humber,E63000575,Shipton (Hambleton),Minor, 445 
E92000001,England,E12000008,South East,E63005701,Shipton Bellinger,Minor," 1,440 "
E92000001,England,E12000003,Yorkshire and The Humber,E63000686,Shiptonthorpe,Minor, 485 
E92000001,England,E12000004,East Midlands,E63001666,Shirebrook,Small," 11,575 "
E92000001,England,E12000001,North East,E63000067,Shiremoor,Small," 6,955 "
E92000001,England,E12000004,East Midlands,E63001488,Shireoaks,Minor," 1,775 "
E92000001,England,E12000004,East Midlands,E63001758,Shirland and Stonebroom,Minor," 3,990 "
E92000001,England,E12000008,South East,E63006377,Shirrell Heath,Minor, 750 
E92000001,England,E12000005,West Midlands,E63003381,Shobdon,Minor, 480 
E92000001,England,E12000008,South East,E63005525,Sholden,Minor, 930 
E92000001,England,E12000008,South East,E63005307,Shoreham,Minor, 840 
E92000001,England,E12000008,South East,E63006538,Shoreham-by-Sea,Medium," 23,660 "
E92000001,England,E12000008,South East,E63005102,Shorne,Minor," 1,040 "
E92000001,England,E12000009,South West,E63006987,Shortlanesend,Minor," 1,430 "
E92000001,England,E12000006,East of England,E63003669,Shortstown,Minor," 4,840 "
E92000001,England,E12000008,South East,E63006797,Shorwell,Minor, 435 
E92000001,England,E12000006,East of England,E63002708,Shotesham,Minor, 240 
E92000001,England,E12000006,East of England,E63003929,Shotley,Minor, 550 
E92000001,England,E12000006,East of England,E63003949,Shotley Gate,Minor," 1,415 "
E92000001,England,E12000005,West Midlands,E63003705,Shotteswell,Minor, 230 
