Upper tier local authorities Code,Upper tier local authorities,Household size (9 categories) Code,Household size (9 categories),Observation,Percentage
E06000018,Nottingham,8,8 or more people in household,1033,0.83
E06000019,Herefordshire,0,0 people in household,0,0.0
E06000019,Herefordshire,1,1 person in household,25434,30.71
E06000019,Herefordshire,2,2 people in household,32073,38.72
E06000019,Herefordshire,3,3 people in household,11947,14.42
E06000019,Herefordshire,4,4 people in household,9298,11.23
E06000019,Herefordshire,5,5 people in household,2946,3.56
E06000019,Herefordshire,6,6 people in household,796,0.96
E06000019,Herefordshire,7,7 people in household,228,0.28
E06000019,Herefordshire,8,8 or more people in household,106,0.13
E06000020,Telford and Wrekin,0,0 people in household,0,0.0
E06000020,Telford and Wrekin,1,1 person in household,21205,27.72
E06000020,Telford and Wrekin,2,2 people in household,27059,35.37
E06000020,Telford and Wrekin,3,3 people in household,13055,17.06
E06000020,Telford and Wrekin,4,4 people in household,9695,12.67
E06000020,Telford and Wrekin,5,5 people in household,3620,4.73
E06000020,Telford and Wrekin,6,6 people in household,1232,1.61
E06000020,Telford and Wrekin,7,7 people in household,410,0.54
E06000020,Telford and Wrekin,8,8 or more people in household,234,0.31
E06000021,Stoke-on-Trent,0,0 people in household,0,0.0
E06000021,Stoke-on-Trent,1,1 person in household,36179,32.77
E06000021,Stoke-on-Trent,2,2 people in household,36854,33.38
E06000021,Stoke-on-Trent,3,3 people in household,17327,15.7
E06000021,Stoke-on-Trent,4,4 people in household,12078,10.94
E06000021,Stoke-on-Trent,5,5 people in household,5033,4.56
E06000021,Stoke-on-Trent,6,6 people in household,1783,1.62
E06000021,Stoke-on-Trent,7,7 people in household,715,0.65
E06000021,Stoke-on-Trent,8,8 or more people in household,429,0.39
E06000022,Bath and North East Somerset,0,0 people in household,0,0.0
E06000022,Bath and North East Somerset,1,1 person in household,23077,29.12
E06000022,Bath and North East Somerset,2,2 people in household,28379,35.81
E06000022,Bath and North East Somerset,3,3 people in household,12065,15.22
E06000022,Bath and North East Somerset,4,4 people in household,11067,13.96
E06000022,Bath and North East Somerset,5,5 people in household,3378,4.26
E06000022,Bath and North East Somerset,6,6 people in household,931,1.17
E06000022,Bath and North East Somerset,7,7 people in household,246,0.31
E06000022,Bath and North East Somerset,8,8 or more people in household,107,0.14
E06000023,Bristol,0,0 people in household,0,0.0
