Upper tier local authorities Code,Upper tier local authorities,Household size (9 categories) Code,Household size (9 categories),Observation
E10000016,Kent,2,2 people in household,225024
E10000016,Kent,3,3 people in household,106015
E10000016,Kent,4,4 people in household,90015
E10000016,Kent,5,5 people in household,30313
E10000016,Kent,6,6 people in household,9055
E10000016,Kent,7,7 people in household,2718
E10000016,Kent,8,8 or more people in household,1439
E10000017,Lancashire,0,0 people in household,0
E10000017,Lancashire,1,1 person in household,165178
E10000017,Lancashire,2,2 people in household,184488
E10000017,Lancashire,3,3 people in household,81574
E10000017,Lancashire,4,4 people in household,61511
E10000017,Lancashire,5,5 people in household,21232
E10000017,Lancashire,6,6 people in household,7148
E10000017,Lancashire,7,7 people in household,2446
E10000017,Lancashire,8,8 or more people in household,1670
E10000018,Leicestershire,0,0 people in household,0
E10000018,Leicestershire,1,1 person in household,81648
E10000018,Leicestershire,2,2 people in household,109324
E10000018,Leicestershire,3,3 people in household,48112
E10000018,Leicestershire,4,4 people in household,40282
E10000018,Leicestershire,5,5 people in household,12077
E10000018,Leicestershire,6,6 people in household,3403
E10000018,Leicestershire,7,7 people in household,1034
E10000018,Leicestershire,8,8 or more people in household,528
E10000019,Lincolnshire,0,0 people in household,0
E10000019,Lincolnshire,1,1 person in household,97972
E10000019,Lincolnshire,2,2 people in household,131198
E10000019,Lincolnshire,3,3 people in household,49958
E10000019,Lincolnshire,4,4 people in household,37290
E10000019,Lincolnshire,5,5 people in household,12060
E10000019,Lincolnshire,6,6 people in household,3477
E10000019,Lincolnshire,7,7 people in household,1055
E10000019,Lincolnshire,8,8 or more people in household,542
E10000020,Norfolk,0,0 people in household,0
E10000020,Norfolk,1,1 person in household,125512
E10000020,Norfolk,2,2 people in household,156242
E10000020,Norfolk,3,3 people in household,58000
E10000020,Norfolk,4,4 people in household,44486
E10000020,Norfolk,5,5 people in household,14038
E10000020,Norfolk,6,6 people in household,4247
E10000020,Norfolk,7,7 people in household,1213
E10000020,Norfolk,8,8 or more people in household,601
E10000023,North Yorkshire,0,0 people in household,0
E10000023,North Yorkshire,1,1 person in household,84891
E10000023,North Yorkshire,2,2 people in household,108052
E10000023,North Yorkshire,3,3 people in household,39068
E10000023,North Yorkshire,4,4 people in household,30707
E10000023,North Yorkshire,5,5 people in household,8659
E10000023,North Yorkshire,6,6 people in household,2221
E10000023,North Yorkshire,7,7 people in household,560
E10000023,North Yorkshire,8,8 or more people in household,223
E10000024,Nottinghamshire,0,0 people in household,0
E10000024,Nottinghamshire,1,1 person in household,105673
E10000024,Nottinghamshire,2,2 people in household,132937
E10000024,Nottinghamshire,3,3 people in household,57142
E10000024,Nottinghamshire,4,4 people in household,43728
E10000024,Nottinghamshire,5,5 people in household,12828
E10000024,Nottinghamshire,6,6 people in household,3378
E10000024,Nottinghamshire,7,7 people in household,966
E10000024,Nottinghamshire,8,8 or more people in household,469
E10000025,Oxfordshire,0,0 people in household,0
E10000025,Oxfordshire,1,1 person in household,78183
E10000025,Oxfordshire,2,2 people in household,102960
E10000025,Oxfordshire,3,3 people in household,47456
E10000025,Oxfordshire,4,4 people in household,40432
E10000025,Oxfordshire,5,5 people in household,12997
E10000025,Oxfordshire,6,6 people in household,3829
E10000025,Oxfordshire,7,7 people in household,1351
E10000025,Oxfordshire,8,8 or more people in household,901
E10000027,Somerset,0,0 people in household,0
E10000027,Somerset,1,1 person in household,76028
E10000027,Somerset,2,2 people in household,96047
E10000027,Somerset,3,3 people in household,36599
E10000027,Somerset,4,4 people in household,28566
E10000027,Somerset,5,5 people in household,9185
E10000027,Somerset,6,6 people in household,2580
E10000027,Somerset,7,7 people in household,728
E10000027,Somerset,8,8 or more people in household,387
E10000028,Staffordshire,0,0 people in household,0
E10000028,Staffordshire,1,1 person in household,108215
E10000028,Staffordshire,2,2 people in household,140924
E10000028,Staffordshire,3,3 people in household,60620
E10000028,Staffordshire,4,4 people in household,45903
E10000028,Staffordshire,5,5 people in household,13994
E10000028,Staffordshire,6,6 people in household,3814
E10000028,Staffordshire,7,7 people in household,1121
E10000028,Staffordshire,8,8 or more people in household,629
E10000029,Suffolk,0,0 people in household,0
E10000029,Suffolk,1,1 person in household,103942
E10000029,Suffolk,2,2 people in household,125135
E10000029,Suffolk,3,3 people in household,48082
E10000029,Suffolk,4,4 people in household,38932
E10000029,Suffolk,5,5 people in household,12496
E10000029,Suffolk,6,6 people in household,3524
E10000029,Suffolk,7,7 people in household,1004
E10000029,Suffolk,8,8 or more people in household,427
E10000030,Surrey,0,0 people in household,0
E10000030,Surrey,1,1 person in household,130426
E10000030,Surrey,2,2 people in household,161335
E10000030,Surrey,3,3 people in household,81437
E10000030,Surrey,4,4 people in household,77705
E10000030,Surrey,5,5 people in household,22609
E10000030,Surrey,6,6 people in household,5796
E10000030,Surrey,7,7 people in household,1641
E10000030,Surrey,8,8 or more people in household,869
E10000031,Warwickshire,0,0 people in household,0
E10000031,Warwickshire,1,1 person in household,73068
E10000031,Warwickshire,2,2 people in household,91843
E10000031,Warwickshire,3,3 people in household,41430
E10000031,Warwickshire,4,4 people in household,33057
E10000031,Warwickshire,5,5 people in household,9837
E10000031,Warwickshire,6,6 people in household,2779
E10000031,Warwickshire,7,7 people in household,813
E10000031,Warwickshire,8,8 or more people in household,434
E10000032,West Sussex,0,0 people in household,0
E10000032,West Sussex,1,1 person in household,111259
E10000032,West Sussex,2,2 people in household,135565
E10000032,West Sussex,3,3 people in household,57949
E10000032,West Sussex,4,4 people in household,49267
E10000032,West Sussex,5,5 people in household,15195
E10000032,West Sussex,6,6 people in household,4248
E10000032,West Sussex,7,7 people in household,1125
E10000032,West Sussex,8,8 or more people in household,608
E10000034,Worcestershire,0,0 people in household,0
E10000034,Worcestershire,1,1 person in household,76079
E10000034,Worcestershire,2,2 people in household,97189
E10000034,Worcestershire,3,3 people in household,40915
E10000034,Worcestershire,4,4 people in household,32304
E10000034,Worcestershire,5,5 people in household,9639
E10000034,Worcestershire,6,6 people in household,2657
E10000034,Worcestershire,7,7 people in household,778
E10000034,Worcestershire,8,8 or more people in household,373
W06000001,Isle of Anglesey,0,0 people in household,0
W06000001,Isle of Anglesey,1,1 person in household,10189
W06000001,Isle of Anglesey,2,2 people in household,11246
W06000001,Isle of Anglesey,3,3 people in household,4435
W06000001,Isle of Anglesey,4,4 people in household,3284
W06000001,Isle of Anglesey,5,5 people in household,1195
W06000001,Isle of Anglesey,6,6 people in household,325
W06000001,Isle of Anglesey,7,7 people in household,89
W06000001,Isle of Anglesey,8,8 or more people in household,59
W06000002,Gwynedd,0,0 people in household,0
W06000002,Gwynedd,1,1 person in household,17664
W06000002,Gwynedd,2,2 people in household,17612
W06000002,Gwynedd,3,3 people in household,7155
W06000002,Gwynedd,4,4 people in household,5531
W06000002,Gwynedd,5,5 people in household,2157
W06000002,Gwynedd,6,6 people in household,678
W06000002,Gwynedd,7,7 people in household,191
W06000002,Gwynedd,8,8 or more people in household,117
W06000003,Conwy,0,0 people in household,0
W06000003,Conwy,1,1 person in household,17909
W06000003,Conwy,2,2 people in household,19249
W06000003,Conwy,3,3 people in household,7443
W06000003,Conwy,4,4 people in household,5156
W06000003,Conwy,5,5 people in household,1723
W06000003,Conwy,6,6 people in household,507
W06000003,Conwy,7,7 people in household,153
W06000003,Conwy,8,8 or more people in household,95
W06000004,Denbighshire,0,0 people in household,0
W06000004,Denbighshire,1,1 person in household,14107
W06000004,Denbighshire,2,2 people in household,15214
W06000004,Denbighshire,3,3 people in household,6170
W06000004,Denbighshire,4,4 people in household,4510
W06000004,Denbighshire,5,5 people in household,1612
W06000004,Denbighshire,6,6 people in household,528
W06000004,Denbighshire,7,7 people in household,171
W06000004,Denbighshire,8,8 or more people in household,75
W06000005,Flintshire,0,0 people in household,0
W06000005,Flintshire,1,1 person in household,19471
W06000005,Flintshire,2,2 people in household,24340
W06000005,Flintshire,3,3 people in household,11233
W06000005,Flintshire,4,4 people in household,8479
W06000005,Flintshire,5,5 people in household,2498
W06000005,Flintshire,6,6 people in household,661
W06000005,Flintshire,7,7 people in household,161
W06000005,Flintshire,8,8 or more people in household,68
W06000006,Wrexham,0,0 people in household,0
W06000006,Wrexham,1,1 person in household,17662
W06000006,Wrexham,2,2 people in household,20423
W06000006,Wrexham,3,3 people in household,9795
W06000006,Wrexham,4,4 people in household,7055
W06000006,Wrexham,5,5 people in household,2162
W06000006,Wrexham,6,6 people in household,592
W06000006,Wrexham,7,7 people in household,156
W06000006,Wrexham,8,8 or more people in household,69
W06000008,Ceredigion,0,0 people in household,0
W06000008,Ceredigion,1,1 person in household,10202
W06000008,Ceredigion,2,2 people in household,11845
W06000008,Ceredigion,3,3 people in household,4045
W06000008,Ceredigion,4,4 people in household,3103
W06000008,Ceredigion,5,5 people in household,1124
W06000008,Ceredigion,6,6 people in household,380
W06000008,Ceredigion,7,7 people in household,114
W06000008,Ceredigion,8,8 or more people in household,79
W06000009,Pembrokeshire,0,0 people in household,0
W06000009,Pembrokeshire,1,1 person in household,18507
W06000009,Pembrokeshire,2,2 people in household,20546
W06000009,Pembrokeshire,3,3 people in household,7797
W06000009,Pembrokeshire,4,4 people in household,5691
W06000009,Pembrokeshire,5,5 people in household,2084
W06000009,Pembrokeshire,6,6 people in household,585
W06000009,Pembrokeshire,7,7 people in household,189
W06000009,Pembrokeshire,8,8 or more people in household,88
W06000010,Carmarthenshire,0,0 people in household,0
W06000010,Carmarthenshire,1,1 person in household,25349
W06000010,Carmarthenshire,2,2 people in household,29813
W06000010,Carmarthenshire,3,3 people in household,12553
W06000010,Carmarthenshire,4,4 people in household,9392
W06000010,Carmarthenshire,5,5 people in household,3222
W06000010,Carmarthenshire,6,6 people in household,980
W06000010,Carmarthenshire,7,7 people in household,291
W06000010,Carmarthenshire,8,8 or more people in household,159
W06000011,Swansea,0,0 people in household,0
W06000011,Swansea,1,1 person in household,36154
W06000011,Swansea,2,2 people in household,35218
W06000011,Swansea,3,3 people in household,15877
W06000011,Swansea,4,4 people in household,12001
W06000011,Swansea,5,5 people in household,3996
W06000011,Swansea,6,6 people in household,1171
W06000011,Swansea,7,7 people in household,367
W06000011,Swansea,8,8 or more people in household,178
W06000012,Neath Port Talbot,0,0 people in household,0
W06000012,Neath Port Talbot,1,1 person in household,20368
W06000012,Neath Port Talbot,2,2 people in household,21531
W06000012,Neath Port Talbot,3,3 people in household,10255
W06000012,Neath Port Talbot,4,4 people in household,7283
W06000012,Neath Port Talbot,5,5 people in household,2151
W06000012,Neath Port Talbot,6,6 people in household,578
W06000012,Neath Port Talbot,7,7 people in household,154
W06000012,Neath Port Talbot,8,8 or more people in household,56
W06000013,Bridgend,0,0 people in household,0
W06000013,Bridgend,1,1 person in household,18664
W06000013,Bridgend,2,2 people in household,22412
W06000013,Bridgend,3,3 people in household,10481
W06000013,Bridgend,4,4 people in household,7461
W06000013,Bridgend,5,5 people in household,2420
W06000013,Bridgend,6,6 people in household,651
W06000013,Bridgend,7,7 people in household,163
W06000013,Bridgend,8,8 or more people in household,108
W06000014,Vale of Glamorgan,0,0 people in household,0
W06000014,Vale of Glamorgan,1,1 person in household,17841
W06000014,Vale of Glamorgan,2,2 people in household,20368
W06000014,Vale of Glamorgan,3,3 people in household,9111
W06000014,Vale of Glamorgan,4,4 people in household,7186
W06000014,Vale of Glamorgan,5,5 people in household,2275
W06000014,Vale of Glamorgan,6,6 people in household,496
W06000014,Vale of Glamorgan,7,7 people in household,124
W06000014,Vale of Glamorgan,8,8 or more people in household,45
W06000015,Cardiff,0,0 people in household,0
W06000015,Cardiff,1,1 person in household,47463
W06000015,Cardiff,2,2 people in household,47353
W06000015,Cardiff,3,3 people in household,23187
W06000015,Cardiff,4,4 people in household,18472
W06000015,Cardiff,5,5 people in household,6717
W06000015,Cardiff,6,6 people in household,2479
W06000015,Cardiff,7,7 people in household,976
W06000015,Cardiff,8,8 or more people in household,686
W06000016,Rhondda Cynon Taf,0,0 people in household,0
W06000016,Rhondda Cynon Taf,1,1 person in household,32170
W06000016,Rhondda Cynon Taf,2,2 people in household,35250
W06000016,Rhondda Cynon Taf,3,3 people in household,17769
W06000016,Rhondda Cynon Taf,4,4 people in household,12881
W06000016,Rhondda Cynon Taf,5,5 people in household,4015
W06000016,Rhondda Cynon Taf,6,6 people in household,922
W06000016,Rhondda Cynon Taf,7,7 people in household,230
W06000016,Rhondda Cynon Taf,8,8 or more people in household,103
W06000018,Caerphilly,0,0 people in household,0
W06000018,Caerphilly,1,1 person in household,22965
W06000018,Caerphilly,2,2 people in household,26687
W06000018,Caerphilly,3,3 people in household,13138
W06000018,Caerphilly,4,4 people in household,9500
W06000018,Caerphilly,5,5 people in household,2922
W06000018,Caerphilly,6,6 people in household,752
W06000018,Caerphilly,7,7 people in household,203
W06000018,Caerphilly,8,8 or more people in household,90
W06000019,Blaenau Gwent,0,0 people in household,0
W06000019,Blaenau Gwent,1,1 person in household,10175
W06000019,Blaenau Gwent,2,2 people in household,10462
W06000019,Blaenau Gwent,3,3 people in household,5174
W06000019,Blaenau Gwent,4,4 people in household,3182
W06000019,Blaenau Gwent,5,5 people in household,1020
W06000019,Blaenau Gwent,6,6 people in household,231
W06000019,Blaenau Gwent,7,7 people in household,71
W06000019,Blaenau Gwent,8,8 or more people in household,25
W06000020,Torfaen,0,0 people in household,0
W06000020,Torfaen,1,1 person in household,12316
W06000020,Torfaen,2,2 people in household,14189
W06000020,Torfaen,3,3 people in household,6866
W06000020,Torfaen,4,4 people in household,4784
W06000020,Torfaen,5,5 people in household,1478
W06000020,Torfaen,6,6 people in household,428
W06000020,Torfaen,7,7 people in household,121
W06000020,Torfaen,8,8 or more people in household,59
W06000021,Monmouthshire,0,0 people in household,0
W06000021,Monmouthshire,1,1 person in household,12287
W06000021,Monmouthshire,2,2 people in household,15862
W06000021,Monmouthshire,3,3 people in household,6144
W06000021,Monmouthshire,4,4 people in household,4765
W06000021,Monmouthshire,5,5 people in household,1387
W06000021,Monmouthshire,6,6 people in household,347
W06000021,Monmouthshire,7,7 people in household,89
W06000021,Monmouthshire,8,8 or more people in household,44
W06000022,Newport,0,0 people in household,0
W06000022,Newport,1,1 person in household,19997
W06000022,Newport,2,2 people in household,21708
W06000022,Newport,3,3 people in household,11114
W06000022,Newport,4,4 people in household,8436
W06000022,Newport,5,5 people in household,2914
W06000022,Newport,6,6 people in household,1031
W06000022,Newport,7,7 people in household,437
W06000022,Newport,8,8 or more people in household,416
W06000023,Powys,0,0 people in household,0
W06000023,Powys,1,1 person in household,19841
W06000023,Powys,2,2 people in household,22962
W06000023,Powys,3,3 people in household,8037
W06000023,Powys,4,4 people in household,6194
W06000023,Powys,5,5 people in household,2269
W06000023,Powys,6,6 people in household,597
W06000023,Powys,7,7 people in household,192
W06000023,Powys,8,8 or more people in household,90
W06000024,Merthyr Tydfil,0,0 people in household,0
W06000024,Merthyr Tydfil,1,1 person in household,8258
W06000024,Merthyr Tydfil,2,2 people in household,8616
W06000024,Merthyr Tydfil,3,3 people in household,4503
W06000024,Merthyr Tydfil,4,4 people in household,3109
W06000024,Merthyr Tydfil,5,5 people in household,964
W06000024,Merthyr Tydfil,6,6 people in household,240
W06000024,Merthyr Tydfil,7,7 people in household,66
W06000024,Merthyr Tydfil,8,8 or more people in household,27
