Upper tier local authorities Code,Upper tier local authorities,Household size (9 categories) Code,Household size (9 categories),Observation
E08000004,Oldham,1,1 person in household,27396
E08000004,Oldham,2,2 people in household,28070
E08000004,Oldham,3,3 people in household,15256
E08000004,Oldham,4,4 people in household,11738
E08000004,Oldham,5,5 people in household,5397
E08000004,Oldham,6,6 people in household,2743
E08000004,Oldham,7,7 people in household,1261
E08000004,Oldham,8,8 or more people in household,1278
E08000005,Rochdale,0,0 people in household,0
E08000005,Rochdale,1,1 person in household,27641
E08000005,Rochdale,2,2 people in household,27854
E08000005,Rochdale,3,3 people in household,14951
E08000005,Rochdale,4,4 people in household,11210
E08000005,Rochdale,5,5 people in household,5003
E08000005,Rochdale,6,6 people in household,2146
E08000005,Rochdale,7,7 people in household,849
E08000005,Rochdale,8,8 or more people in household,569
E08000006,Salford,0,0 people in household,0
E08000006,Salford,1,1 person in household,39141
E08000006,Salford,2,2 people in household,37670
E08000006,Salford,3,3 people in household,18097
E08000006,Salford,4,4 people in household,12359
E08000006,Salford,5,5 people in household,4608
E08000006,Salford,6,6 people in household,1794
E08000006,Salford,7,7 people in household,664
E08000006,Salford,8,8 or more people in household,785
E08000007,Stockport,0,0 people in household,0
E08000007,Stockport,1,1 person in household,39439
E08000007,Stockport,2,2 people in household,42565
E08000007,Stockport,3,3 people in household,20627
E08000007,Stockport,4,4 people in household,16999
E08000007,Stockport,5,5 people in household,5049
E08000007,Stockport,6,6 people in household,1328
E08000007,Stockport,7,7 people in household,399
E08000007,Stockport,8,8 or more people in household,239
E08000008,Tameside,0,0 people in household,0
E08000008,Tameside,1,1 person in household,32374
E08000008,Tameside,2,2 people in household,32399
E08000008,Tameside,3,3 people in household,16536
E08000008,Tameside,4,4 people in household,11845
E08000008,Tameside,5,5 people in household,4169
E08000008,Tameside,6,6 people in household,1370
E08000008,Tameside,7,7 people in household,488
E08000008,Tameside,8,8 or more people in household,346
